Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","756","Switzerland","5510","Production","01253.01","Onions and shallots, green","2018","2018","tonnes","2675","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5312","Area harvested","01241.90","Other beans, green","2018","2018","ha","1218","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01241.90","Other beans, green","2018","2018","hg/ha","81026","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","01241.90","Other beans, green","2018","2018","tonnes","9869","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5312","Area harvested","01355.90","Other berries and fruits of the genus vaccinium n.e.c.","2018","2018","ha","25","E","Estimated value"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01355.90","Other berries and fruits of the genus vaccinium n.e.c.","2018","2018","hg/ha","51345","E","Estimated value"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","01355.90","Other berries and fruits of the genus vaccinium n.e.c.","2018","2018","tonnes","130.54","I","Imputed value"
"QCL","Crops and livestock products","756","Switzerland","5312","Area harvested","01359.90","Other fruits, n.e.c.","2018","2018","ha","1","I","Imputed value"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01359.90","Other fruits, n.e.c.","2018","2018","hg/ha","248336","E","Estimated value"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","01359.90","Other fruits, n.e.c.","2018","2018","tonnes","24.38","E","Estimated value"
"QCL","Crops and livestock products","756","Switzerland","5312","Area harvested","01449.90","Other oil seeds, n.e.c.","2018","2018","ha","131","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01449.90","Other oil seeds, n.e.c.","2018","2018","hg/ha","11756","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","01449.90","Other oil seeds, n.e.c.","2018","2018","tonnes","154","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5312","Area harvested","01290.90","Other vegetables, fresh n.e.c.","2018","2018","ha","2262","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01290.90","Other vegetables, fresh n.e.c.","2018","2018","hg/ha","238369","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","01290.90","Other vegetables, fresh n.e.c.","2018","2018","tonnes","53919","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5312","Area harvested","01345","Peaches and nectarines","2018","2018","ha","11","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5419","Yield","01345","Peaches and nectarines","2018","2018","hg/ha","185455","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5510","Production","01345","Peaches and nectarines","2018","2018","tonnes","204","A","Official figure"
"QCL","Crops and livestock products","756","Switzerland","5312","Area harvested","01342.01","Pears","2018","2018","ha","783","A","Official figure"
