Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","756","Switzerland","5301","Domestic supply quantity","S2909","Sugar & Sweeteners","2018","2018","1000 tonnes","390","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5521","Feed","S2909","Sugar & Sweeteners","2018","2018","1000 tonnes","0","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5123","Losses","S2909","Sugar & Sweeteners","2018","2018","1000 tonnes","0","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5131","Processing","S2909","Sugar & Sweeteners","2018","2018","1000 tonnes","0","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5154","Other uses (non-food)","S2909","Sugar & Sweeteners","2018","2018","1000 tonnes","4","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5170","Residuals","S2909","Sugar & Sweeteners","2018","2018","1000 tonnes","0","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5142","Food","S2909","Sugar & Sweeteners","2018","2018","1000 tonnes","386","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","645","Food supply quantity (kg/capita/yr)","S2909","Sugar & Sweeteners","2018","2018","kg","45.25","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","664","Food supply (kcal/capita/day)","S2909","Sugar & Sweeteners","2018","2018","kcal/capita/day","438","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","661","Food supply (kcal)","S2909","Sugar & Sweeteners","2018","2018","million kcal","1362544","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","674","Protein supply quantity (g/capita/day)","S2909","Sugar & Sweeteners","2018","2018","g/capita/day","0.02","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","671","Protein supply quantity (g)","S2909","Sugar & Sweeteners","2018","2018","g","53","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","684","Fat supply quantity (g/capita/day)","S2909","Sugar & Sweeteners","2018","2018","g/capita/day","0","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","681","Fat supply quantity (g)","S2909","Sugar & Sweeteners","2018","2018","g","0","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5511","Production","S2911","Pulses","2018","2018","1000 tonnes","19","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5611","Import Quantity","S2911","Pulses","2018","2018","1000 tonnes","20","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5072","Stock Variation","S2911","Pulses","2018","2018","1000 tonnes","1","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","S2911","Pulses","2018","2018","1000 tonnes","0","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5301","Domestic supply quantity","S2911","Pulses","2018","2018","1000 tonnes","38","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5521","Feed","S2911","Pulses","2018","2018","1000 tonnes","19","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5527","Seed","S2911","Pulses","2018","2018","1000 tonnes","1","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5123","Losses","S2911","Pulses","2018","2018","1000 tonnes","1","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5131","Processing","S2911","Pulses","2018","2018","1000 tonnes","1","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5170","Residuals","S2911","Pulses","2018","2018","1000 tonnes","0","E","Estimated value"
